 raw bandwidth-latency data
 
 injdl  ltcy(ns)  bw(MBps)

 00000  404.12    43528.0
 00002  393.79    43752.6
 00008  501.83    41894.3
 00015  442.23    42244.2
 00050  369.30    42358.0
 00100  310.11    42893.9
 00200  285.50    42779.0
 00300  153.85    41697.2
 00400  112.39    35541.6
 00500  105.01    29796.8
 00700   93.78    22442.3
 01000   89.19    16334.8
 01300   85.38    12952.0
 01700   84.51    10159.8
 02500   85.54     7211.7
 03500   83.55     5433.2
 05000   79.93     4086.5
 09000   76.39     2673.2
 20000   78.27     1640.8

 00000  524.81    41819.1
 00002  514.07    41850.5
 00008  405.07    43345.7
 00015  353.27    43905.3
 00050  315.10    43828.4
 00100  314.80    42983.6
 00200  275.04    43241.6
 00300  154.28    41829.8
 00400  124.70    35114.2
 00500  103.74    30152.3
 00700   90.85    22594.6
 01000   86.47    16429.7
 01300   84.99    13005.0
 01700   86.40    10211.8
 02500  102.42     6900.7
 03500   80.92     5461.3
 05000   80.65     4080.3
 09000  109.85     2381.2
 20000   83.11     1597.0

 00000  407.10    43481.3
 00002  394.48    43581.2
 00008  434.08    43177.0
 00015  396.98    43344.6
 00050  328.84    43336.6
 00100  291.86    43557.6
 00200  267.72    43488.4
 00300  157.69    41897.9
 00400  111.43    35825.1
 00500   97.67    30154.2
 00700   91.79    22577.9
 01000   89.58    16396.7
 01300   83.14    13053.4
 01700   82.33    10247.7
 02500   85.03     7250.6
 03500   81.40     5460.5
 05000   79.01     4116.4
 09000   77.60     2665.9
 20000   75.94     1668.3
